roadmap_id,title,description,created_at,created_by
232,BERT Deep Learning Specialization,This roadmap guides learners through the BERT Models skills and tools required for mastery.,2023-03-09 00:40:31,63
233,SvelteKit Web Developer Blueprint,This roadmap guides learners through the SvelteKit skills and tools required for mastery.,2024-03-31 11:31:43,26
234,Near Protocol Blockchain Developer Roadmap,This roadmap guides learners through the Near Protocol skills and tools required for mastery.,2025-07-16 01:37:19,94
235,Indie Game Developer Journey,This roadmap guides learners through the Indie Game Development skills and tools required for mastery.,2024-01-12 02:14:45,14
236,PyTorch Lightning Python Developer Roadmap,This roadmap guides learners through the PyTorch Lightning skills and tools required for mastery.,2025-06-28 22:54:47,28
237,Sensor Networks IoT Track,This roadmap guides learners through the Sensor Networks skills and tools required for mastery.,2025-06-01 17:20:34,55
238,Chakra UI Frontend Developer Roadmap,This roadmap guides learners through the Chakra UI skills and tools required for mastery.,2023-06-19 17:45:47,94
239,Power Electronics Embedded Systems Roadmap,This roadmap guides learners through the Power Electronics skills and tools required for mastery.,2024-04-24 18:25:40,47
240,Plotly Python Developer Roadmap,This roadmap guides learners through the Plotly Visualization skills and tools required for mastery.,2025-07-05 23:45:08,18
241,Xamarin Mobile Developer Roadmap,This roadmap guides learners through the Xamarin Development skills and tools required for mastery.,2024-02-10 15:34:29,17
242,Smart City IoT Track,This roadmap guides learners through the Smart City IoT skills and tools required for mastery.,2024-10-05 21:12:48,79
243,Snowflake Data Engineer Track,This roadmap guides learners through the Snowflake skills and tools required for mastery.,2025-01-14 11:30:01,64
244,Web Components Frontend Developer Roadmap,This roadmap guides learners through the Web Components skills and tools required for mastery.,2023-04-22 10:14:11,21
245,Agriculture IoT Track,This roadmap guides learners through the Agriculture IoT skills and tools required for mastery.,2025-05-24 16:52:02,81
246,FastAPI Backend Developer Roadmap,This roadmap guides learners through the FastAPI Backend skills and tools required for mastery.,2025-06-24 14:41:52,56
247,Hugo Web Developer Blueprint,This roadmap guides learners through the Hugo Static Site skills and tools required for mastery.,2023-10-30 16:25:56,25
248,Jekyll Web Developer Blueprint,This roadmap guides learners through the Jekyll skills and tools required for mastery.,2024-06-02 10:27:45,16
249,Diffusion Models Deep Learning Specialization,This roadmap guides learners through the Diffusion Models skills and tools required for mastery.,2024-10-29 22:26:38,4
250,Kotlin Mobile Developer Roadmap,This roadmap guides learners through the Kotlin Development skills and tools required for mastery.,2023-10-03 03:13:30,60
251,Algorand Blockchain Developer Roadmap,This roadmap guides learners through the Algorand skills and tools required for mastery.,2025-04-25 03:32:01,98
252,3D Game Developer Journey,This roadmap guides learners through the 3D Game Development skills and tools required for mastery.,2025-04-21 19:08:22,92
253,Cassandra Database Administrator Roadmap,This roadmap guides learners through the Cassandra skills and tools required for mastery.,2023-09-22 23:31:19,100
254,Kubeflow AI Engineer Path,This roadmap guides learners through the Kubeflow skills and tools required for mastery.,2024-10-31 17:02:21,15
255,Stellar Blockchain Developer Roadmap,This roadmap guides learners through the Stellar skills and tools required for mastery.,2023-08-30 00:04:43,79
256,FinOps Cloud Engineer Essentials,This roadmap guides learners through the FinOps skills and tools required for mastery.,2023-07-10 02:08:59,73
257,DynamoDB Database Administrator Roadmap,This roadmap guides learners through the DynamoDB skills and tools required for mastery.,2025-10-18 13:07:19,31
258,Koa.js Backend Developer Roadmap,This roadmap guides learners through the Koa.js skills and tools required for mastery.,2023-10-10 16:55:40,7
259,NestJS Backend Developer Roadmap,This roadmap guides learners through the NestJS skills and tools required for mastery.,2024-11-21 04:03:07,3
260,Flink Data Engineer Track,This roadmap guides learners through the Apache Flink skills and tools required for mastery.,2025-01-24 15:14:43,25
261,Healthcare IoT Track,This roadmap guides learners through the Healthcare IoT skills and tools required for mastery.,2025-04-17 01:42:52,47
262,Recommender Systems Data Science Journey,This roadmap guides learners through the Recommender Systems skills and tools required for mastery.,2025-04-27 18:16:31,29
263,Pulumi Cloud Engineer Essentials,This roadmap guides learners through the Pulumi skills and tools required for mastery.,2024-01-02 03:37:50,28
264,Eleventy Web Developer Blueprint,This roadmap guides learners through the Eleventy skills and tools required for mastery.,2023-12-05 20:39:27,33
265,Laravel Backend Developer Roadmap,This roadmap guides learners through the Laravel skills and tools required for mastery.,2023-12-17 19:17:58,50
266,Communication Protocols Embedded Systems Roadmap,This roadmap guides learners through the Communication Protocols skills and tools required for mastery.,2025-08-07 10:28:38,94
267,MPLS Network Engineer Path,This roadmap guides learners through the MPLS skills and tools required for mastery.,2024-01-25 09:15:23,3
268,PWA Mobile Developer Roadmap,This roadmap guides learners through the Progressive Web Apps skills and tools required for mastery.,2025-04-09 06:07:45,92
269,Energy Management IoT Track,This roadmap guides learners through the Energy Management IoT skills and tools required for mastery.,2024-10-14 22:51:57,57
270,ARCore Developer Roadmap,This roadmap guides learners through the ARCore skills and tools required for mastery.,2025-06-09 09:25:30,12
271,Stable Diffusion Deep Learning Specialization,This roadmap guides learners through the Stable Diffusion skills and tools required for mastery.,2025-02-06 20:43:49,65
272,IAM Cybersecurity Foundations,This roadmap guides learners through the Identity & Access Management skills and tools required for mastery.,2025-02-06 04:27:20,83
273,Signal Processing Embedded Systems Roadmap,This roadmap guides learners through the Signal Processing skills and tools required for mastery.,2023-08-13 05:47:45,62
274,Flow Blockchain Developer Roadmap,This roadmap guides learners through the Flow Blockchain skills and tools required for mastery.,2025-08-23 02:05:06,95
275,Slim PHP Backend Developer Roadmap,This roadmap guides learners through the Slim PHP skills and tools required for mastery.,2023-09-01 16:31:28,97
276,Qwik Web Developer Blueprint,This roadmap guides learners through the Qwik Framework skills and tools required for mastery.,2023-02-04 08:37:39,61
277,Wearable IoT Track,This roadmap guides learners through the Wearable Technology IoT skills and tools required for mastery.,2024-06-16 23:47:50,78
278,Preact Frontend Developer Roadmap,This roadmap guides learners through the Preact skills and tools required for mastery.,2023-08-22 15:30:20,45
