hackathon_id,name,start_date,end_date,details,registration_date,created_at
233,CodeMania 1,2025-07-04,2025-07-07,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-06-28,2025-06-27
234,CloudHack 11,2025-04-20,2025-04-23,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-04-11,2025-04-06
235,TechOlympiad 6,2025-10-28,2025-11-01,Compete in algorithmic problem-solving and system design challenges.,2025-10-16,2025-10-11
236,CodeSprint 12,2025-06-01,2025-06-06,Compete in algorithmic problem-solving and system design challenges.,2025-05-26,2025-05-23
237,HackHub 16,2025-01-13,2025-01-17,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-01-06,2025-01-02
238,HackWave 11,2025-04-11,2025-04-15,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-04-05,2025-04-02
239,CodeVerse 42,2025-10-17,2025-10-22,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-10-08,2025-10-03
240,CodeSprint 6,2025-09-21,2025-09-25,Build sustainable tech solutions for a better future.,2025-09-10,2025-09-05
241,DataStorm 49,2025-05-16,2025-05-19,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-05-06,2025-05-05
242,CodeVerse 12,2025-05-17,2025-05-22,Collaborate with developers and showcase your creative coding skills.,2025-05-12,2025-05-10
243,NextGenHack 13,2025-12-20,2025-12-23,A national-level hackathon focusing on web and AI innovation.,2025-12-07,2025-12-05
244,CodeVerse 42,2025-11-09,2025-11-12,Collaborate with developers and showcase your creative coding skills.,2025-10-26,2025-10-24
245,CodeVerse 21,2025-09-14,2025-09-16,Build sustainable tech solutions for a better future.,2025-09-04,2025-09-01
246,TechTrek 24,2025-06-06,2025-06-10,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-05-23,2025-05-22
247,MegaHack 6,2025-06-30,2025-07-05,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-06-23,2025-06-22
248,AI Innovators 18,2025-07-23,2025-07-26,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-07-11,2025-07-07
249,HackHub 29,2025-09-19,2025-09-24,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-09-09,2025-09-05
250,CodeFusion 36,2025-03-19,2025-03-21,Build sustainable tech solutions for a better future.,2025-03-12,2025-03-10
251,AI Innovators 17,2025-12-28,2025-12-30,Build sustainable tech solutions for a better future.,2025-12-16,2025-12-15
252,CodeSprint 3,2025-07-10,2025-07-14,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-06-30,2025-06-29
253,CodeMania 5,2025-11-07,2025-11-10,A national-level hackathon focusing on web and AI innovation.,2025-10-24,2025-10-19
254,MegaHack 36,2025-07-07,2025-07-11,A national-level hackathon focusing on web and AI innovation.,2025-06-29,2025-06-25
255,TechOlympiad 40,2025-01-05,2025-01-09,Collaborate with developers and showcase your creative coding skills.,2024-12-23,2024-12-21
256,TechTrek 40,2025-07-07,2025-07-09,A national-level hackathon focusing on web and AI innovation.,2025-06-25,2025-06-22
257,CodeVerse 19,2025-07-26,2025-07-29,Compete in algorithmic problem-solving and system design challenges.,2025-07-19,2025-07-16
258,NextGenHack 36,2025-01-10,2025-01-14,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-01-04,2024-12-30
259,AI Innovators 1,2025-03-04,2025-03-07,Collaborate with developers and showcase your creative coding skills.,2025-02-19,2025-02-16
260,DigitalX 34,2025-10-28,2025-10-31,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-10-15,2025-10-11
261,CodeVerse 50,2025-03-01,2025-03-03,Build sustainable tech solutions for a better future.,2025-02-23,2025-02-20
262,HackZone 42,2025-03-08,2025-03-10,Collaborate with developers and showcase your creative coding skills.,2025-02-23,2025-02-22
263,DigitalX 31,2025-11-29,2025-12-01,Compete in algorithmic problem-solving and system design challenges.,2025-11-17,2025-11-13
264,AlgoRush 1,2025-07-30,2025-08-04,Build sustainable tech solutions for a better future.,2025-07-19,2025-07-14
265,MegaHack 3,2025-01-14,2025-01-18,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-01-04,2024-12-30
266,MegaHack 10,2025-08-20,2025-08-24,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-08-11,2025-08-10
267,CyberQuest 3,2025-07-13,2025-07-18,A national-level hackathon focusing on web and AI innovation.,2025-07-01,2025-06-26
268,InnovateX 29,2025-06-21,2025-06-24,A national-level hackathon focusing on web and AI innovation.,2025-06-07,2025-06-03
269,CodeSprint 25,2025-05-12,2025-05-17,Compete in algorithmic problem-solving and system design challenges.,2025-05-07,2025-05-03
270,HackHub 14,2025-09-30,2025-10-02,A national-level hackathon focusing on web and AI innovation.,2025-09-23,2025-09-21
271,TechOlympiad 41,2025-04-30,2025-05-02,A national-level hackathon focusing on web and AI innovation.,2025-04-24,2025-04-20
272,HackHub 40,2025-07-23,2025-07-28,A national-level hackathon focusing on web and AI innovation.,2025-07-15,2025-07-11
273,HackWave 6,2025-07-02,2025-07-06,A national-level hackathon focusing on web and AI innovation.,2025-06-23,2025-06-19
274,HackWave 34,2025-12-17,2025-12-21,A national-level hackathon focusing on web and AI innovation.,2025-12-09,2025-12-06
275,CodeVerse 38,2025-04-26,2025-04-28,Build sustainable tech solutions for a better future.,2025-04-12,2025-04-09
276,NextGenHack 22,2025-05-21,2025-05-26,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-05-15,2025-05-12
277,CyberQuest 25,2025-11-04,2025-11-06,Collaborate with developers and showcase your creative coding skills.,2025-10-29,2025-10-24
278,DevFusion 8,2025-07-17,2025-07-21,Compete in algorithmic problem-solving and system design challenges.,2025-07-07,2025-07-05
279,CodeSprint 42,2025-10-18,2025-10-21,Build sustainable tech solutions for a better future.,2025-10-07,2025-10-05
280,DigitalX 31,2025-02-27,2025-03-03,Compete in algorithmic problem-solving and system design challenges.,2025-02-19,2025-02-18
281,CodeSprint 38,2025-08-29,2025-09-01,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-08-24,2025-08-22
282,CodeVerse 47,2025-06-10,2025-06-15,Collaborate with developers and showcase your creative coding skills.,2025-05-29,2025-05-24
283,HackZone 2,2025-05-05,2025-05-10,Collaborate with developers and showcase your creative coding skills.,2025-04-30,2025-04-26
284,DevFusion 3,2025-09-13,2025-09-18,A national-level hackathon focusing on web and AI innovation.,2025-09-06,2025-09-02
285,AI Innovators 35,2025-08-11,2025-08-14,Compete in algorithmic problem-solving and system design challenges.,2025-08-04,2025-08-03
286,AI Innovators 16,2025-11-30,2025-12-03,Compete in algorithmic problem-solving and system design challenges.,2025-11-17,2025-11-13
287,HackHub 29,2025-07-28,2025-08-01,A national-level hackathon focusing on web and AI innovation.,2025-07-16,2025-07-11
288,CloudHack 49,2025-11-07,2025-11-12,Build sustainable tech solutions for a better future.,2025-10-25,2025-10-21
289,HackZone 42,2025-12-02,2025-12-06,Compete in algorithmic problem-solving and system design challenges.,2025-11-27,2025-11-24
290,NextGenHack 14,2025-03-03,2025-03-07,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-02-19,2025-02-17
291,FutureCoders 33,2025-11-23,2025-11-26,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-11-09,2025-11-07
292,MegaHack 6,2025-10-27,2025-10-30,Build sustainable tech solutions for a better future.,2025-10-14,2025-10-11
293,TechTrek 16,2025-08-20,2025-08-24,Collaborate with developers and showcase your creative coding skills.,2025-08-10,2025-08-05
294,CodeVerse 29,2025-08-15,2025-08-18,Build sustainable tech solutions for a better future.,2025-08-04,2025-07-30
295,TechTrek 25,2025-08-05,2025-08-09,Collaborate with developers and showcase your creative coding skills.,2025-07-26,2025-07-24
296,CodeFusion 13,2025-04-22,2025-04-25,Compete in algorithmic problem-solving and system design challenges.,2025-04-13,2025-04-10
297,CodeFusion 38,2025-03-21,2025-03-26,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-03-14,2025-03-11
298,AI Innovators 43,2025-06-15,2025-06-19,Build sustainable tech solutions for a better future.,2025-06-03,2025-06-02
299,CloudHack 29,2025-12-17,2025-12-19,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-12-12,2025-12-08
300,HackWave 19,2025-08-24,2025-08-28,A national-level hackathon focusing on web and AI innovation.,2025-08-11,2025-08-06
